NAMC_ID,NAMC_CODE,NAMC_term,NAMC _term_diacritical,  NAMC _term_DEVANAGARI,short_definition,long_definition,ontology_branches
1967,K-14.6,SALYANIMITTAJAVRANAH,śalyanimittajavraṇaḥ,शल्यनिमित्तजव्रणः,nāḍīvraṇa due to foreign body ,"the disorder is characterized by phēnilamathitamacchasrāvaḥ [frothy clear discharge as if churned], asr̥gvimiśra-srāvaḥ(sahasā ) [sanguinous discharge], uṣṇa-srāvaḥ [warm discharge], nitya-rujā/sahasā rujā [constant pain], sāsraṁ ca pūyam [blood mixed pus discharge], tanu srāvaḥ [thin discharge], alpa srāvaḥ [less quantity of discharge] ",
1968,K-15,VRANAYAMAH,vraṇāyāmaḥ,व्रणायामः,post-traumatic convulsion ,the disorder is characterized by vyāvacchanti tanuṁ dōṣāḥ sarvamāpādamastakam [doshas spread rapidly throughout the body] ,
1969,K-15.1,ASADHYA-VRANAYAMAH/UPADRAVAH,asādhya-vraṇāyāmaḥ/upadravaḥ,असाध्य-व्रणायामः/उपद्रवः,irremediable vraṇāyāma ,"the disorder is characterized by pāṇḍugātra [paleness of body], tr̥ṣṇā [thirst], [], [] ",
1970,L,ABIGHATAH,abhighātaḥ,अभिघातः,traumatic disorders , ,
1971,LA,BAGNAH,bhagnaḥ,भग्नः,fracture ,the disorder is characterized by unnata [elevating] ,
1972,LA-1,SANDHIMUKTAM,sandhimuktam,सन्धिमुक्तम्,dislocation ,"the disorder is characterized by prasāraṇāśakti [inability of extention], ākuñcanāśakti [inability of flexion], vivartanāśakti [inability of circumduction], ākṣēpaṇāśakti [inability of any movement], ugrarujatvaṁ [severe pain], sparśāsahatvaṁ [tenderness/inability to tolerate touch] ",
1973,LA-1.1,UTPISHTA-SANDHIMUKTAM,utpiṣṭa-sandhimuktam,उत्पिष्ट-सन्धिमुक्तम्,fracture dislocation ,"the disorder is characterized by sandhi-śōpha (samantāt) [swelling all around the joints], rātribhavā rujā [pain increases in the night], sandhāvubhayatō śōphaḥ [swelling on both sides], nānāprakāra vēdanā rātrau pradurbhavanti [onset of vartious type of pain at night] ",
1974,LA-1.2,VISLISHTA-SANDHIMUKTAM,viśliṣṭa-sandhimuktam,विश्लिष्ट-सन्धिमुक्तम्,subluxation/incomplete dislocation ,"the disorder is characterized by alpa śōpha [mild swelling], vēdanāsātatyaṁ [persistent pain], sandhivikriyā [derangement of the joints] ",
1975,LA-1.3,VIVARTITA-SANDHIMUKTAM,vivartita-sandhimuktam,विवर्तित-सन्धिमुक्तम्,dislocation with lateral displacement ,"the disorder is characterized by sandhipārśvāpagamana [lateral displacement of the joint], viṣamāṅgatā [deformity], vēdanā [pain] ",
1976,LA-1.4,AVAKSHIPTA-SANDHIMUKTAM/ADHAHKSHIPTA-SANDHIMUKTAM,avakṣipta-sandhimuktam/adhaḥkṣipta-sandhimuktam,अवक्षिप्त-सन्धिमुक्तम्/अधःक्षिप्त-सन्धिमुक्तम्,dislocation with downward displacement ,"the disorder is characterized by sandhi-viślēṣa [loosening /dislocation of joints], tīvra-rujatvaṁ [severe joint pain] ",
1977,LA-1.5,ATIKSHIPTA-SANDHIMUKTAM,atikṣipta-sandhimuktam,अतिक्षिप्त-सन्धिमुक्तम्,dislocation with over riding ,"the disorder is characterized by sandhyasthnōratikrāntatā [overriding of both bones], vēdanā [joint pain] ",
1978,LA-1.6,TIRYAKAKSHIPTA-SANDHIMUKTAM,tiryakakṣipta-sandhimuktam,तिर्यकक्षिप्त-सन्धिमुक्तम्,dislocation with oblique displacement ,"the disorder is characterized by ēkāsthipārśvāpagamana [one of the bones gets obliquely displaced], atyarthaṁ vēdanā [severe pain] ",
1979,LA-2,KANDABAGNA-ADHIKARANAM,kāṇḍabhagna-adhikaraṇam,काण्डभग्न-अधिकरणम्,types of fractures ,"the disorder is characterized by śvayathubāhulyaṁ [severe swelling], spandanam [pusating sensation], vivartana [inability to rotation], sparśāsahiṣṇutvam [tenderness/inability to tolerate touch], avapīḍyamānē śabdaḥ [crepitus on pressure], srastāṅgatā [flaccidity/ laxity], vividhavēdanāprādurbhāvaḥ [appearance of various types of pain], sarvāsvavasthāsu na śarmalābhō [no relief in any position] ",
1980,LA-2.1,KARKATAKA-BAGNAH,karkaṭaka-bhagnaḥ,कर्कटक-भग्नः,sub periosteal fracture , ,
1981,LA-2.2,ASVAKARNAH,aśvakarṇaḥ,अश्वकर्णः,oblique fracture ,the disorder is characterized by aśvakarṇavadudgatam [fracture is raised like the ears of horse] ,
1982,LA-2.3,CURNITAH,cūrṇitaḥ,चूर्णितः,comminuted fracture ,the disorder is characterized by spr̥śyamānaṁ śabdamavagacchēt [there is sound on palpation] ,
1983,LA-2.4,PICCITAH,piccitaḥ,पिच्चितः,complicated fracture ,"the disorder is characterized by pr̥thutāṁ [flattening], analpaśōphaṁ [marked swelling] ",
1984,LA-2.5,ASTHICILLITAH,asthichillitaḥ,अस्थिछिल्लितः,longitudinal fracture ,the disorder is characterized by pārśvayōrasthi hīnōdgatam [slight elevation of bones on the sides] ,
1985,LA-2.6,KANDABAGNAH,kāṇḍabhagnaḥ,काण्डभग्नः,transverse fracture ,the disorder is characterized by prakaṁpamānaṁ vēllatē [the fracture moves on shaking] ,
1986,LA-2.7,MAJJANUGATA-BAGNAH,majjānugata-bhagnaḥ,मज्जानुगत-भग्नः,impacted fracture ,the disorder is characterized by asthyavayavō asthimadhyamanupraviśya majjānamunnahyatīti [bony spicules get impacted into the middle of the bone and let out the bone marrow.] ,
1987,LA-2.8,ATIPATITA-BAGNAH,atipātita-bhagnaḥ,अतिपातित-भग्नः,multiple fracture ,the disorder is characterized by chinnaṁ niḥśēṣataḥ [complete fracture of bone] ,
1988,LA-2.9,VAKRA-BAGNAH,vakra-bhagnaḥ,वक्र-भग्नः,green stick fracture ,"the disorder is characterized by ābhugnam [slight bending], vimukta [incomplete fracture] ",
1989,LA-2.10,CINNABAGNAH,chinnabhagnaḥ,छिन्नभग्नः,incomplete fracture ,the disorder is characterized by anyatarapārśvāvaśiṣṭaṁ [otherside remains unbroken] ,
1990,LA-2.11,PATITABAGNAH,pāṭitabhagnaḥ,पाटितभग्नः,cracked fracture ,"the disorder is characterized by aṇubahuvidāritaṁ [multiple fracture with tiny bone pieces], vēdanāvat [associated with pain] ",
1991,LA-2.12,SPUTITA-BAGNAH,sphuṭita-bhagnaḥ,स्फुटित-भग्नः,fissured fracture ,"the disorder is characterized by śūkapūrṇa iva ādhmānam [distention with feeling as filled with bristles], vipulaṁ, visphuṭita [multiple cracks on bone] ",
1992,LA-3,VIVIDHA-AVAYAVA-BAGNAH,vividha-avayava-bhagnaḥ,विविध-अवयव-भग्नः,fractures of different body parts , ,
1993,LA-3.1,AKSHAKASTHI-BAGNAH,akṣakāsthi-bhagnaḥ,अक्षकास्थि-भग्नः,fracture clavicle , ,
1994,LA-3.2,KAPALA-BAGNAH,kapāla-bhagnaḥ,कपाल-भग्नः,fracture of skull , ,
1995,LA-3.3,KARNA-BAGNAH,karṇa-bhagnaḥ,कर्ण-भग्नः,injury to the ear , ,
1996,LA-3.4,NASA-BAGNAH,nāsā-bhagnaḥ,नासा-भग्नः,fracture nasal bone , ,
1997,LA-3.5,HANU-BAGNAH,hanu-bhagnaḥ,हनु-भग्नः,fracture mandible , ,
1998,LA-3.6,DANTA-BAGNAH,danta-bhagnaḥ,दन्त-भग्नः,broken teeth , ,
1999,LA-3.7,GRIVA-BAGNAH,grīvā-bhagnaḥ,ग्रीवा-भग्नः,fracture cervical vertebrae , ,
2000,LA-3.8,SKANDHA-BAGNAH,skandha-bhagnaḥ,स्कन्ध-भग्नः,"fracture clavicle, head of the humerus and scapula with shoulder dislocation ", ,
2001,LA-3.9,BAHU-BAGNAH,bāhu-bhagnaḥ,बाहु-भग्नः,fracture shaft of humerus , ,
2002,LA-3.10,KURPARA-BAGNAH,kūrpara-bhagnaḥ,कूर्पर-भग्नः,fracture of shafts of radius and ulna , ,
2003,LA-3.11,ANGULI-BAGNAH,aṅguli-bhagnaḥ,अङ्गुलि-भग्नः,fracture phallanges , ,
2004,LA-3.12,NAKHA-SANDHI-BAGNAH,nakha-sandhi-bhagnaḥ,नख-सन्धि-भग्नः,injury to nails , ,
2005,LA-3.13,PARSUKASTHI-BAGNAH,parśukāsthi-bhagnaḥ,पर्शुकास्थि-भग्नः,fracture rib , ,
2006,LA-3.14,URVASTHI-BAGNAH,ūrvasthi-bhagnaḥ,ऊर्वस्थि-भग्नः,fracture femur/dislocation of hip joint , ,
2007,LA-3.15,URU-BAGNAH,ūru-bhagnaḥ,ऊरु-भग्नः,fracture femur , ,
2008,LA-3.16,JANGKA-BAGNAH,jaṅgkā-bhagnaḥ,जङ्ग्का-भग्नः,fracture tibia , ,
2009,LA-3.17,PADATALA-BAGNAH,pādatala-bhagnaḥ,पादतल-भग्नः,fracture metatarsal , ,
2010,LA-4,DUSSADHYA-BAGNAH,dussādhya-bhagnaḥ,दुस्साध्य-भग्नः,intractable fracture ,"the disorder is characterized by prajyāṇudāri [bones has been crushed into very small pieces], asthi sparśē śabdaṁ karōti [causes sound on touching], asthilēśaḥ praviśēnmadhyamasthnō vidāritaḥ [pieces of bones have entered into the marrow cavity], bhagnaṁ yaccābhighātēna kiñcidēvāvaśēṣitam [the condition where by trauma very little portion of bone is left inside the body], unnamyamānaṁ kṣatavadyacca majjani majjati [condition in which raising the fractured portion makes it sinks into the marrow] ",
2011,LA-5,ASADHYA-BAGNAH,asādhya-bhagnaḥ,असाध्य-भग्नः,irremediable fracture ,"the disorder is characterized by bhinnaṁ kapālaṁ [fracture of the pelvic bone in its flat portion], kaṭyāṁ sandhimuktaṁ cyutaṁ ca yat [dislocation and displacement of hip joint], jaghanaṁ prati piṣṭaṁ [impacted fracture of pelvic region], asaṁśliṣṭakapālaṁ [non jointed fracture of flat bones], lalāṭaṁ cūrṇitam [communited fracture of skull bones], śaṁkha bhagnaḥ [fracture in temporal region], śiraḥ bhagnaḥ [skull fracture], pr̥ṣṭha bhagnaḥ [fracture of backbone], stanāntara bhagnaḥ [fracture of sternum/mid thoracic region], durnyāsāt vikriyāṁ gacchati [malalignment of bones due to improper setting], durnibandhanāt vikriyāṁ gacchati [malalignment of bones due to improper bandage], saṁkṣōbhāta vikriyāṁ gacchati [malalignment of bones due to jolting] ",
2012,LB,DAGDHAH,dagdhaḥ,दग्धः,burn injury , ,
2013,LB-1,AGNIDAGDHAH,agnidagdhaḥ,अग्निदग्धः,burns , ,
2014,LB-1.1,PLUSHTADAGDHAH/TUCCADAGDHAH,pluṣṭadagdhaḥ/tucchadagdhaḥ,प्लुष्टदग्धः/तुच्छदग्धः,Singeing (first degree) ,"the disorder is characterized by vivarṇaṁ [discolouration], pluṣyatē atimātraṁ [excessive singeing] ",
2015,LB-1.2,DURDAGDHAM,durdagdham,दुर्दग्धम्,blister formation(second degree)/suboptimal cautery ,"the disorder is characterized by sphōṭaḥ [blister], tīvra cōṣa [severe sucking pain], tīvra dāha [severe burning sensation], tīvra rāga [severe redness], tīvra pāka [severe inflammation], vēdanā [pain], cirāccōpaśāmyanti [takes long time to subside] ",
2016,LB-1.3,SAMYAGDAGDHAH,samyagdagdhaḥ,सम्यग्दग्धः,superficial (third degree) burn ,"the disorder is characterized by anavagāḍhaṁ [burn is not very deep], tālavarṇaṁ [resembles colour of palm fruit], susaṁsthitaṁ [morphology of tissue maintained] ",
2017,LB-1.4,ATIDAGDHAH,atidagdhaḥ,अतिदग्धः,deep burn (fourth degree) ,"the disorder is characterized by māṁsāvalambanaṁ [hanging of muscles from the burnt area], gātraviślēṣaḥ [loosening of body parts], sirāvyāpādanamatimātraṁ [severe destruction of the blood vessels], snāyu vyāpādanamatimātraṁ [severe destruction of nerves], sandhya vyāpādanamatimātraṁ [severe destruction of joints ,], asthi vyāpādanamatimātraṁ [severe destruction of bones], jvaraḥ [fever], dāhaḥ [burning sensation], pipāsāḥ [thirst], mūrcchāḥ [syncope/attacks of swooning], vraṇaścāsya cirēṇa rōhatiḥ [wound takes a long time to heal], rūḍhaśca vivarṇō bhavatiḥ [after healing the burnt area becomes permanently discoloured] ",
2018,LB-2,SNEHADAGDHAH,snēhadagdhaḥ,स्नेहदग्धः,"burns due to liquids such as fats, oils and water at high temperature. ",the disorder is characterized by adhika rujā [severe pain] ,
2019,LB-3,USHNAVATATAPA-DAGDHAH,uṣṇavātātapa-dagdhaḥ,उष्णवातातप-दग्धः,burns due to hot winds/heat stroke , ,
2020,LB-4,TVAK-DAGDHAH,tvak-dagdhaḥ,त्वक्-दग्धः,cautery at skin level ,"the disorder is characterized by durgandhaḥ [bad smell from the burnt site], tvaka saṅkōcaḥ [contraction of skin], śabda prādurbhāvaḥ [occurance of sound while burning] ",
2021,LB-5,MAMSADAGDHAH,māṁsadagdhaḥ,मांसदग्धः,muscle cauterization ,"the disorder is characterized by kapōta varṇaḥ [pale ash colour like the Pigeon], alpa śvayathu [mild swelling], alpa vēdanā [mild pain], śuṣka saṁkucit vraṇaḥ [dried contracted wound], raukṣya [dryness], śōpha [oedema] ",
2022,LB-6,SIRADAGDHAH,sirādagdhaḥ,सिरादग्धः,vessel and ligament cauterization ,"the disorder is characterized by kr̥ṣṇa vraṇaḥ [black discoloration], unnatavraṇaḥ [elevated appearance], srāvasannirōdhaḥ [cessation of discharges] ",
2023,LB-7,SNAYUDAGDHAH,snāyudagdhaḥ,स्नायुदग्धः,ligament cauterization ,"the disorder is characterized by kr̥ṣṇa vraṇaḥ [black discoloration], unnatavraṇaḥ [elevated appearance], srāvasannirōdhaḥ [cessation of discharges] ",
2024,LB-8,SANDHYASTHIDAGDHA,sandhyasthidagdha,सन्ध्यस्थिदग्ध,bone and joint cauterization ,"the disorder is characterized by rūkṣa vraṇaḥ [dry appearing wound], aruṇa vraṇatā [slight redness in wound], karkaśa vraṇaḥ [rough wound], sthira vraṇaḥ [fixed to the underlying tissue] ",
2025,LC,DHUMAH,dhūmaḥ,धूमः,suffocation by inhalation of poisonous smoke , ,
2026,LC-1,DHUMOPAHATAH,dhūmōpahataḥ,धूमोपहतः,suffocation by smoke/smoke poisoning ,"the disorder is characterized by śvāsaḥ [breathlessness/difficult breathing], kṣavathuḥ atyartham [exessive sneezing], ādhmānam [abdominal distension], kāsaḥ [cough], cakṣuṣōḥ paridāhaḥ [burning sensation in eyes], cakṣuṣōḥ rāgaḥ [redness of the eyes], sadhūma niśvāsaḥ [expiration of smoky air], ghrēyaṁ anyat n vētti [inability to percieve any other smell], rasān sarvān n vētti [inability to recognise any taste], śrutirupahanyatē [dull hearing/hearing loss], tr̥ṣṇāḥ [thirst], dāhaḥ [burning sensation], jvaraḥ [fever], sādaḥ [exhaustion or tirednes of body], mūrcchāḥ [syncope/attacks of swooning] ",
2027,LD,MARMAVIDDHAH/MARMABIGHATAH/MARMAKSHATAH,marmaviddhaḥ/marmābhighātaḥ/marmakṣataḥ,मर्मविद्धः/मर्माभिघातः/मर्मक्षतः,injury to vital spots ,"the disorder is characterized by bhramaḥ [giddiness or dizziness], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], patanam [falling down], pramōhaḥ [fainting/severe confusion], vicēṣṭanam [uncordinated movements], saṁlayanam [non functioning of mind as in sleep], uṣṇatā [feeling of warmth], srastāṅgatā [flaccidity/ laxity], mūrcchanam [syncope/attacks of swooning], ūrdhvavātaḥ [upward movement of vāyu], tīvra-rujaḥ (vātakr̥taḥ) [severe breaking type of pain], māṁsōdakābha-rudhira-srāvaḥ [blood discharge resembling meat washings], sarvēndriyārthōparamaḥ [cessation of functioning of all the sense organs], glāniḥ [fatigue in mind and body] ",
2028,LD-1,SAKHA-MARMAVIDDHAH,śākhā-marmaviddhaḥ,शाखा-मर्मविद्धः, marmaviddha-extremities , ,
2029,LD-1.1,TALAHRUDAYA-MARMAVIDDHAH,talahr̥daya-marmaviddhaḥ,तलहृदय-मर्मविद्धः,injury to talahr̥t-marma ,the disorder is characterized by rujābhirmaraṇaṁ/rujayā paṁcatā [pain leading to death] ,
2030,LD-1.2,KSHIPRA-MARMAVIDDHAH,kṣipra-marmaviddhaḥ,क्षिप्र-मर्मविद्धः,injury to kṣipramarma ,the disorder is characterized by ākkṣēpakēna maraṇam/ākṣēpamāraṇam [convulsion leading to death] ,
2031,LD-1.3,KURCA-MARMAVIDDHAH,kūrca-marmaviddhaḥ,कूर्च-मर्मविद्धः,injury to kūrca marma ,"the disorder is characterized by bhramaṇam [vertigo], kaṁpanam [shaking of body], vēpanam [shivering/tremors] ",
2032,LD-1.4,KURCASIRA-MARMAVIDDHAH,kūrcaśira-marmaviddhaḥ,कूर्चशिर-मर्मविद्धः,injury to kūrca sirā marma ,"the disorder is characterized by rujā [pain], śōphaḥ [oedema] ",
2033,LD-1.5,GULPA-MARMAVIDDHAH,gulpha-marmaviddhaḥ,गुल्फ-मर्मविद्धः,injury to gulphamarma ,"the disorder is characterized by rujā [pain], stabdhapādatā/stabdhapādatā/stambhaḥ [stiffness in legs], khañjatā [lameness], māndyam [mild] ",
2034,LD-1.6,INDRABASTI-MARMAVIDDHAH,indrabasti-marmaviddhaḥ,इन्द्रबस्ति-मर्मविद्धः,injury to indravabastimarma ,the disorder is characterized by śōṇitakṣayēṇa maraṇam/maraṇaṁ asr̥kkṣayāt [death due to bleeding] ,
2035,LD-1.7,JANU-MARMAVIDDHAH,jānu-marmaviddhaḥ,जानु-मर्मविद्धः,injury to jānu marma ,the disorder is characterized by khañjatā [lameness] ,
2036,LD-1.8,ANI-MARMAVIDDHAH,āṇi-marmaviddhaḥ,आणि-मर्मविद्धः,injury to aṇimarma ,"the disorder is characterized by śōphābhivr̥ddhiḥ [increase in oedema], stabdhasakthitā [stiffness of lower limb], ūrustaṁbhaḥ [stiffness of thighs] ",
2037,LD-1.9,URVI-MARMAVIDDHAH,urvī-marmaviddhaḥ,उर्वी-मर्मविद्धः,injury to urvī marma ,the disorder is characterized by śōṇitakṣayāt sakthiśōṣaḥ [wasting of lowerlimb due to bleeding] ,
2038,LD-1.10,LOHITA-MARMAVIDDHAH,lōhita-marmaviddhaḥ,लोहित-मर्मविद्धः,injury to lōhitamarma ,"the disorder is characterized by lōhitakṣayēṇa maraṇam [death due to bleeding], pakṣāghātaḥ [hemiplegia] ",
2039,LD-1.11,VITAPA-MARMAVIDDHAH,viṭapa-marmaviddhaḥ,विटप-मर्मविद्धः,injury to viṭapa marma ,"the disorder is characterized by ṣaṇḍatā [impotence], alpaśukratā [less quantity of semen / śukra] ",
2040,LD-1.12,MANIBANDHA-MARMAVIDDHAH,maṇibandha-marmaviddhaḥ,मणिबन्ध-मर्मविद्धः,injury to maṇibandhamarma ,"the disorder is characterized by kuṇṭhatā [loss of motor function of hand], kuṇitvam [deformity of upperlimb] ",
2041,LD-1.13,KURPARA-MARMAVIDDHAH,kūrpara-marmaviddhaḥ,कूर्पर-मर्मविद्धः,injury to kūrparamarma ,the disorder is characterized by kauṇyam [deformity of upperlimb at elbow] ,
2042,LD-1.14,KAKSHADHARA-MARMAVIDDHAH,kakṣadhara-marmaviddhaḥ,कक्षधर-मर्मविद्धः,injury to kakṣādhr̥k marma ,"the disorder is characterized by pakṣāghātaḥ [monoplegia of upperlimb], kuṇitvam [deformity of upperlimb] ",
2043,LD-2,MADHYAMANGA-MARMAVIDDHAH,madhyamāṅga-marmaviddhaḥ,मध्यमाङ्ग-मर्मविद्धः,vital spots of the trunk , ,
2044,LD-2.1,GUDA-MARMAVIDDHAH,guda-marmaviddhaḥ,गुद-मर्मविद्धः,injury to gudamarma ,the disorder is characterized by sadyōmaraṇam [intantaneous death] ,
2045,LD-2.2,BASTI-MARMAVIDDHAH,basti-marmaviddhaḥ,बस्ति-मर्मविद्धः,injury to basti marma ,"the disorder is characterized by sadyōmaraṇam [intantaneous death], mūtrasrāvī vraṇaḥ (ēkatō bhinnē) [urine flow from wound in bladder (perforated bladder)], vraṇasya (vastau) kr̥cchrēṇa rōhaṇam [wound in bladder heals with difficulty] ",
2046,LD-2.3,NABI-MARMAVIDDHAH,nābhi-marmaviddhaḥ,नाभि-मर्मविद्धः,injury to nābhimarma ,the disorder is characterized by sadyōmaraṇam [intantaneous death] ,
2047,LD-2.4,HRUDAYA--MARMAVIDDHAH,hr̥daya--marmaviddhaḥ,हृदय--मर्मविद्धः,injury to heart ,the disorder is characterized by sadyōmaraṇam [intantaneous death] ,
2048,LD-2.5,STANAROHITA-MARMAVIDDHAH,stanarōhita-marmaviddhaḥ,स्तनरोहित-मर्मविद्धः,injury to stanarōhita marma ,"the disorder is characterized by lōhitapūrṇakōṣṭhatā [chest cavity gets filled with blood / hemothorax], kāsaḥ [cough], śvāsaḥ [breathlessness/difficult breathing], maraṇam [death] ",
2049,LD-2.6,STANAMULA-MARMAVIDDHAH,stanamūla-marmaviddhaḥ,स्तनमूल-मर्मविद्धः,injury to stanamūlamarma ,"the disorder is characterized by kaphapūrṇakōṣṭhatā [kōṣṭha gets filled with kapha], kāsaḥ [cough], śvāsaḥ [breathlessness/difficult breathing], maraṇam [death] ",
2050,LD-2.7,APASTAMBA-MARMAVIDDHAH,apastambha-marmaviddhaḥ,अपस्तम्भ-मर्मविद्धः,injury to āpastaṁbhamarma ,"the disorder is characterized by vātapūrṇakōṣṭhatā [chest cavity gets filled with air/ pneumothorax], kāsaḥ [cough], śvāsaḥ [breathlessness/difficult breathing], raktapūrṇakōṣṭhatā [kōśta gets filled with blood] ",
2051,LD-2.8,APALAPA-MARMAVIDDHAH,apalāpa-marmaviddhaḥ,अपलाप-मर्मविद्धः,injury to apalāpamarma ,"the disorder is characterized by raktasrāvaḥ [bleeding into chest cavity], pūyabhāvaḥ [pus formation], maraṇam [death] ",
2052,LD-2.9,KATIKATARUNA-MARMAVIDDHAH,kaṭīkataruṇa-marmaviddhaḥ,कटीकतरुण-मर्मविद्धः,injury to kaṭīkataruṇaamarma ,"the disorder is characterized by śōṇitakṣayaḥ/raktakṣayaḥ [diminution of blood, anemia], pāṇḍutvam [pallor], vaivarṇyam [discolouration], hīnarūpaḥ/hīnadēhaḥ [emaciated body], maraṇam [death] ",
2053,LD-2.10,KUKUNDARA-MARMAVIDDHAH,kukundara-marmaviddhaḥ,कुकुन्दर-मर्मविद्धः,injury to kukundaramarma ,"the disorder is characterized by adhaḥkāyē sparśājñānam [loss of tactile sensation in lower half of the body], adhaḥkāyē cēṣṭōpaghātaḥ/cēṣṭāhāniḥ [loss of motor functions in the lower half of the body] ",
2054,LD-2.11,NITAMBA-MARMAVIDDHAH,nitamba-marmaviddhaḥ,नितम्ब-मर्मविद्धः,injury to nitaṁba marma ,"the disorder is characterized by adhaḥkāyaśōṣaḥ [wasting of lower half of body], daurbalyam [weakness], maraṇam [death], adhaḥśarīraśōphaḥ [swelling in lower half of body] ",
2055,LD-2.12,PARSVASANDHI-MARMAVIDDHAH,pārśvasandhi-marmaviddhaḥ,पार्श्वसन्धि-मर्मविद्धः,injury to pārśvasandhi marma ,"the disorder is characterized by lōhitapūrṇakōṣṭhatā [chest cavity gets filled with blood / hemothorax], maraṇam/śarīrāntarasambhavaḥ [death] ",
2056,LD-2.13,BRUHATI-MARMAVIDDHAH,br̥hati-marmaviddhaḥ,बृहति-मर्मविद्धः,injury to br̥hatimarma ,"the disorder is characterized by śōṇitātipravr̥ttinimittōpadravaḥ/raktasaṁkṣayaḥ [complications arised due to blood loss/ anemia], maraṇam [death] ",
2057,LD-2.14,AMSAPALAKA-MARMAVIDDHAH,aṁsaphalaka-marmaviddhaḥ,अंसफलक-मर्मविद्धः,injury to aṁsaphalakamarma ,"the disorder is characterized by bāhusvāpaḥ [numbness in arms], bāhuśōṣaḥ [wasting of arms] ",
2058,LD-2.15,AMSA-MARMAVIDDHAH,aṁsa-marmaviddhaḥ,अंस-मर्मविद्धः,injury to aṁsamarma ,"the disorder is characterized by stabdhabāhutā [paralyzed arms], bāhukriyāhāniḥ [loss of activities of arms] ",
2059,LD-3,JATRURDHVA-MARMAVIDDHAH,jatrūrdhva-marmaviddhaḥ,जत्रूर्ध्व-मर्मविद्धः,injury to vital spots in head and neck , ,
2060,LD-3.1,NILA-MARMAVIDDHAH,nīlā-marmaviddhaḥ,नीला-मर्मविद्धः,injury to nīlā marma ,"the disorder is characterized by mūkatā/svarapraṇāśaḥ [loss of voice/ speech and dumbness], svaravaikr̥tam [altered voice/ speech], arasagrāhitā/rasājñānam [lack of ability to taste] ",
2061,LD-3.2,MANYA-MARMAVIDDHAH,manyā-marmaviddhaḥ,मन्या-मर्मविद्धः,injury to manyā marma ,"the disorder is characterized by mūkatā/svarapraṇāśaḥ [loss of voice/ speech and dumbness], svaravaikr̥tam [altered voice/ speech], arasagrāhitā/rasājñānam [lack of ability to taste] ",
2062,LD-3.3,KRUKATIKA-MARMAVIDDHAH,kr̥kāṭikā-marmaviddhaḥ,कृकाटिका-मर्मविद्धः,injury to kr̥kāṭikā marma ,the disorder is characterized by calamūrdhatā/calaṁ śiraḥ [shaking of head] ,
2063,LD-3.4,MATRUKA-MARMAVIDDHAH,mātr̥kā-marmaviddhaḥ,मातृका-मर्मविद्धः,injury to mātr̥kāmarma ,the disorder is characterized by sadyōmaraṇam [intantaneous death] ,
2064,LD-3.5,VIDHURA-MARMAVIDDHAH,vidhura-marmaviddhaḥ,विधुर-मर्मविद्धः,injury to vidhuramarma ,the disorder is characterized by bādhiryam/śrutiharaṇam [deafness/ hearing impairment] ,
2065,LD-3.6,PANA-MARMAVIDDHAH,phaṇa-marmaviddhaḥ,फण-मर्मविद्धः,injury to phaṇamarma ,the disorder is characterized by gandhājñānam/gandhavijñānaharaṇam [Anosmia/ lack of smelling ability] ,
2066,LD-3.7,APANGA-MARMAVIDDHAH,apāṅga-marmaviddhaḥ,अपाङ्ग-मर्मविद्धः,injury to apāṅgamarma ,"the disorder is characterized by āndhyam [blindness], dr̥ṣṭi-upaghātaḥ [loss of vision] ",
2067,LD-3.8,AVARTA-MARMAVIDDHAH,āvarta-marmaviddhaḥ,आवर्त-मर्मविद्धः,injury to āvartamarma ,"the disorder is characterized by āndhyam [blindness], dr̥ṣṭi-upaghātaḥ [loss of vision] ",
2068,LD-3.9,SAMKHAMARMAVIDDHAH,śaṁkhamarmaviddhaḥ,शंखमर्मविद्धः,injury to śaṅkhamarma ,the disorder is characterized by sadyōmaraṇam [intantaneous death] ,
2069,LD-3.10,UTKSHEPA-MARMAVIDDHAH,utkṣēpa-marmaviddhaḥ,उत्क्षेप-मर्मविद्धः,injury to utkṣēpamarma ,"the disorder is characterized by saśalyaḥ jīvati [survives with foreign body in marma], pākāt patitaśalyaḥ jīvati [survives even if foreign body is expulsed out after suppuration], nōddhr̥taśalyaḥ jīvati/anuddhr̥taśalyaḥ jīvati [survives either the śalya is removed or not], sadyōmaraṇaṁ nōddhr̥taśalyaḥ [immediated death if foreign body is extracted], saśalyō jīvēt pākāt patitaśalyō [a man can survive if foreign body remains lodged in this marma or if it is allowed to come out after suppuration] ",
2070,LD-3.11,STHAPANI-MARMAVIDDHAH,sthapanī-marmaviddhaḥ,स्थपनी-मर्मविद्धः,injury to sthapanimarma ,"the disorder is characterized by saśalyaḥ jīvati [survives with foreign body in marma], pākāt patitaśalyaḥ jīvati [survives even if foreign body is expulsed out after suppuration], nōddhr̥taśalyaḥ jīvati/anuddhr̥taśalyaḥ jīvati [survives either the śalya is removed or not], sadyōmaraṇaṁ nōddhr̥taśalyaḥ [immediated death if foreign body is extracted], saśalyō jīvēt pākāt patitaśalyō [a man can survive if foreign body remains lodged in this marma or if it is allowed to come out after suppuration] ",
